Unnamed: 0,review_id,product_id,reviewer_id,stars,review_body,review_title,language,product_category,sentiment
718553,fr_0535496,product_fr_0690863,reviewer_fr_0121107,3,Colis reçu en retard en bureau de poste sans aucun avis de passage.,Reçu en retard,fr,furniture,neutral
837677,ja_0184682,product_ja_0858221,reviewer_ja_0159201,1,到着した商品を確認すると、掲載されている商品とは違う商品が届いた。,困ったもんです,ja,wireless,negative
592862,es_0113530,product_es_0929006,reviewer_es_0817701,5,"La cadena es preciosa, un largo adecuado y el tiempo de entrega tal y como se solicitó. Todo perfecto. Recomendable 100%",SILVIA T.C.,es,jewelry,positive
40625,de_0425138,product_de_0074456,reviewer_de_0400641,2,Das Schutzglas sieht klasse aus deshalb 2 Sterne. Leider löst es sich ständig und liegt nicht sauber auf. Deshalb geht der Fingerprint auch nicht mit diesem Schutzglas. Eine Benützung mit der Orginal Huawei Hülle ist nicht möglich da sonst das Glas nach oben weggedrückt wird. Ich habe es wieder zurückgesendet,Optisch schön aber mehr auch nicht,de,wireless,negative
600816,fr_0697112,product_fr_0921368,reviewer_fr_0206147,1,4 Flacon sur 7 arrivé explosé dans le carton,arrivé explosé,fr,drugstore,negative
261443,en_0940699,product_en_0496194,reviewer_en_0867119,2,The swivel brass piece that connects the shoulder strap to the bag broke on the second trip I used the bag for. Either i got a defective one or it's made out of too thin of metal. But now I'm stuck with a broken bag because it's outside of the return window.,Broke after two trips,en,sports,negative
586173,es_0794899,product_es_0408324,reviewer_es_0970900,5,"Perfecta, lo mejor el precio y la comodidad de recibirlo en casa",Excelente precio,es,beauty,positive
175468,de_0222674,product_de_0229792,reviewer_de_0634804,5,Sehr reißfest und preiswert,Super Bio-Eimer Tüten,de,home,positive
625753,fr_0713811,product_fr_0739033,reviewer_fr_0243643,1,"J'avais imaginé que je pourrais percer le métal avec ces forets, et bien je n'y suis pas arrivée ... Finalement ils ne servent qu'à percer le bois et le placo comme mes forets bosh sauf que ces forets là sont moins solides que mes bosh, le bout s'abime",A quoi ça sert ?,fr,home_improvement,negative
944533,ja_0717502,product_ja_0352202,reviewer_ja_0416448,4,お金に強い人、弱い人を対比している箇所が多々見られることで、何が要素であるかが分かりやすかったです。,強くなれる,ja,digital_ebook_purchase,positive
59463,de_0133354,product_de_0736283,reviewer_de_0856018,2,"Leider hat das Produkt nicht seine Wirkung gezeigt, unsere beiden Hunde hatten weiterhin zecken.",Keine Wirkung,de,pet_products,negative
1155914,zh_0631990,product_zh_0059025,reviewer_zh_0966466,4,孩子看过了同名音乐剧，非常喜欢，想自己用钢琴演奏，很高兴买到专业出版社的五线谱。适合演唱，专业的老师修改下可以用做钢琴谱。印刷正规，整本购买更划算。,音乐剧五线谱,zh,book,positive
118261,de_0056248,product_de_0458507,reviewer_de_0066907,3,"Sehr schnelle Lieferung, die Ware entspricht der Produktbeschreibung, alles wäre in bester Ordnung wenn die Karte Nr 1 dabei wäre. Jetzt suche ich gerade auf den amazon Seiten nach der Möglichkeit, das zu reklamieren.",Sehr schade Karte Nr 1 fehlt sonst 5 Sterne,de,book,neutral
1094998,zh_0796931,product_zh_0043186,reviewer_zh_0630389,3,没看过其他版本的香奈儿的传记，觉得还可以吧！,一般吧,zh,book,neutral
338529,en_0330159,product_en_0101148,reviewer_en_0104992,4,I love my air fryer. It is so convenient and makes the perfect wings in no time.,Super convenient!!,en,kitchen,positive
416293,es_0815541,product_es_0614224,reviewer_es_0699360,1,Tras un mes de espera el artículo nunca llegó. El artículo estaba a un precio bastante bajo para la calidad que tiene por eso decidí pedirlo. Aunque el recambio sensitive se merece un diez por su calidad el proveedor se merece un cero. No respondía a mis mensajes y nunca me facilitó seguimiento del envío. Así que espero que mi valoración sirva para alertar a otros compradores de la poca seriedad y falta de diligencia de este vendedor. Menos mal que Amazon tras presentar reclamación me hizo el reembolso del producto.,Proveedor nada responsable,es,personal_care_appliances,negative
615215,fr_0812481,product_fr_0982764,reviewer_fr_0358859,1,"Après avoir acheté ce produit il y a deux mois et en étant satisfaits, nous en avons commandé un second. le prix entre les deux achats avait augmenté de 4€... A réception, nous avons pu constater un gros éclat sur le chrome, bien visible. demande de remboursement avec retour effectuée auprès d'Amazon. pas découragés on recommande. Cette fois, deux éclats sur le chrome. Le plastique support étant rouge, c'est tout sauf discret. Lassés par cette qualité médiocre, nous attendons maintenant un hypothétique geste commercial d'Amazon, dont les contrôles qualité laissent vraiment à désirer. Sur un produit à 3€ on pourrait le tolérer, mais quand ça dépasse 10€ il ne faut pas exagérer.","Qualité lamentable des chromes pour le prix payé, ne mérite pas une étoile!",fr,furniture,negative
459591,es_0432928,product_es_0002915,reviewer_es_0033922,2,"Vienen 100 cápsulas, y no 12 como dice la descripción.","100 CÁPSULAS, NO 120",es,drugstore,negative
1129801,zh_0452515,product_zh_0993333,reviewer_zh_0927640,4,还不错，速度也很快，一周左右时间就到了，鞋码的话以尺码为主会相对小一点，比方说我是255的码，会比小一些，因为鞋子有很厚的记忆鞋垫。,还可以,zh,shoes,positive
104823,de_0254085,product_de_0528610,reviewer_de_0283714,3,"Dieses Handyhalterung mit Induktiven Laden, wird besser dargestellt als sie ist. Im Produktvideo sieht man eigentlich, dass das Teil Qualitativ hochwertig ist, das Handy super einfach festgehalten wird und die Halterung auch einfach am Lüftungsschlitz hängen bleibt. Bei mir ist das allerdings nicht der Fall. Am Lüftungsschlitz bleibt das Ding nicht richtig hängen, Wenn man das Handy reinstellt, sodass es festgehalten werden soll, harkt der Mechanismus so komisch. Das Induktive Laden funktioniert aber Super. Ich nutze das Ding weiter, aber hätte ich es im Laden vorher in der Hand gehalten, hätte ich es nicht gekauft.","Besser dargestellt, als sie Wirklich ist",de,wireless,neutral
926275,ja_0495885,product_ja_0244010,reviewer_ja_0322709,4,塾で勧められて買いました。「参考にはなったが、レベル４以下にも例文がほしかった」そうです。,参考になります,ja,book,positive
1199520,zh_0141324,product_zh_0350031,reviewer_zh_0347952,5,安装好了，用了一段时间很满意，包装很结实，我家正好在免费安装区域很棒还能免费安装，安装师傅还和我说下怎么用，说明书都没看就用了，服务很到位很满意。,舒服、惬意,zh,home,positive
990361,ja_0701080,product_ja_0357438,reviewer_ja_0211929,5,玄関の照明器具と一緒に購入、照明器具でうまく隠れていますね。,玄関,ja,industrial_supplies,positive
1005525,zh_0615129,product_zh_0159399,reviewer_zh_0165250,1,经过师傅认定这家店里的龙头是假货进口进口是6分国内是4分这货就是4分,不要上当是假货,zh,home_improvement,negative
944750,ja_0393910,product_ja_0978452,reviewer_ja_0335619,4,リビングで使ってますが音は静かで全く気になりません。 温度調整も今のところはバッチリです。 これから真夏に向かって大丈夫かが気掛かりですが…,音が静か。,ja,other,positive
963434,ja_0949892,product_ja_0504160,reviewer_ja_0958591,5,4個パックを定期便で頼んでいましたが、今月中旬に来るはずだったものが お届け不可能のメールが来ました。 価格があがっている点とあわせて考えると そろそろメーカーも生産をやめてしまう態勢なのでしょうか。 他にはないニッチ商品だっただけに、この先が不安で仕方ないです。,そろそろ生産が終わるのでしょうか,ja,drugstore,positive
1027031,zh_0400550,product_zh_0831298,reviewer_zh_0242369,1,很一般，保护壳与手机并不是很贴合，手机放进去后，保护壳的硬部分与软部分会产生较大的缝隙。,有缝隙,zh,wireless,negative
3438,de_0477733,product_de_0698712,reviewer_de_0293908,1,"Also Finger weg davon bitte, von drei zwei geplatzt also beim Folien Entfernung zwei zerbrochen",Billigsdorfer,de,wireless,negative
148672,de_0181024,product_de_0817870,reviewer_de_0793174,4,"Sehr schöner Kinderregenschirm. Durch die Farbe auch gut bei trüben Herbstwetter zu sehen. Schirm lässt sich leicht durch einfaches Schieben öffnen. Einziges Manko: Verpackung von Amazon war beschädigt, Schirm aber unversehrt.",Super,de,apparel,positive
667415,fr_0722265,product_fr_0058291,reviewer_fr_0960204,2,Beaucoup trop mou. On a mis deux oreillers dans une même taie et l'ensemble reste très mou. Je ne recommande pas,Trop mou pour moi,fr,home,negative
514194,es_0485303,product_es_0534894,reviewer_es_0941348,3,Cable con bastantes pérdidas.,"Compra satisfactoria, aunque el cable tiene bastantes pérdidas.",es,electronics,neutral
324859,en_0149693,product_en_0598710,reviewer_en_0373652,4,Love this book. I felt the boxes were a bit to small but there is just a chance I am using this for a younger writer than its intended purpose. It really helps explain spacing and letter shapes,Love this book,en,office_product,positive
983530,ja_0760102,product_ja_0246391,reviewer_ja_0489330,5,実家で使っていた天ぷら鍋は凄く重かったがこれは軽くて使いやすいです 2人分での使用だとこれくらいでも十分だと思います 軽い割りには安定もしてました,軽くて使いやすい,ja,home,positive
240953,en_0049171,product_en_0033038,reviewer_en_0691636,2,Foam is flaking off and comes through material on top and leaves a residue on top of chairs. Can not even get it off with a lint brush. Very unsatisfied.,Flakes like dandruff on top of material and chair,en,home,negative
621789,fr_0027501,product_fr_0489239,reviewer_fr_0693580,1,"Ce kit n'a aucun intérêt. L'eau coule à flot au niveau du bouchon de la bouteille, même vissée à fond.",Ce kit d'arrosage fuit ! Aucun intérêt.,fr,lawn_and_garden,negative
